user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform
1,44,2.39,1.93,8.46,61,3.73,33.86,Low,YouTube
2,30,7.22,5.24,7.34,28,6.8,85.32,Low,YouTube
3,23,2.56,4.64,4.69,8,4.47,60.07,High,YouTube
4,36,8.75,4.89,5.05,53,9.53,36.46,Medium,LinkedIn
5,34,10.96,2.77,7.12,83,7.01,32.93,Medium,Instagram
6,38,5.78,5.3,5.87,113,8.78,32.74,Low,Instagram
7,26,6.37,6.72,3.49,10,2.03,6.58,Low,LinkedIn
8,26,11.2,7.99,3.85,18,5.05,11.03,High,Snapchat
9,39,6.73,6.79,7.47,102,1.37,9.88,High,LinkedIn
10,39,6.36,4.68,4.97,73,9.06,31.91,High,YouTube
11,18,7.36,1.95,6.05,4,2.32,47.92,High,Instagram
12,37,8.58,5.61,7.6,102,8.25,15.61,High,LinkedIn
13,17,2.18,7.53,7.51,86,9.31,82.97,Low,YouTube
14,39,10.03,2.09,4.0,69,4.98,7.5,Low,YouTube
15,45,5.79,2.42,3.59,94,4.5,94.59,Medium,Twitter
16,17,1.8,1.62,6.55,17,6.4,8.37,Medium,Snapchat
17,36,9.65,6.03,7.45,20,7.66,89.57,Medium,Snapchat
18,48,5.15,3.55,3.89,14,6.81,26.81,Low,Snapchat
19,27,2.1,0.97,5.23,58,1.01,98.69,Medium,Instagram
20,37,7.97,7.06,8.22,94,8.07,52.61,Medium,Instagram
21,40,10.68,4.68,8.67,73,2.33,2.81,High,Instagram
22,42,10.77,2.98,5.72,5,5.05,28.98,High,Instagram
23,43,11.53,3.08,3.48,23,3.54,94.08,Medium,YouTube
24,31,10.54,2.68,4.55,96,9.35,30.67,High,Snapchat
25,30,1.02,3.92,4.4,59,5.52,36.6,Medium,Instagram
26,18,5.18,3.03,4.43,27,5.7,5.37,High,Snapchat
27,22,10.0,4.61,5.96,91,1.69,26.07,Low,YouTube
28,36,5.03,6.3,6.5,73,9.08,26.67,Low,Instagram
